1,"Bitcoin","$1,353,504,822,600","$68,690.00","19,703,193","$20,542,447,538","0.71 %",2024-05-25 08:37:00
2,"Ethereum","$450,771,937,867","$3,751.96","120,132,764","$17,282,567,442","0.44 %",2024-05-25 08:37:00
3,"Tether","$111,876,619,807","$1.00","111,937,360,458","$42,087,004,184","-0.06 %",2024-05-25 08:37:00
4,"BNB","$92,513,367,613","$601.29","153,856,150","$761,774,272","0.65 %",2024-05-25 08:37:00
5,"Solana","$76,037,661,795","$169.34","449,290,224","$2,820,801,601","15.52 %",2024-05-25 08:37:00
7,"USD Coin","$32,761,170,702","$1.00","32,758,722,910","$5,897,810,949","-0.02 %",2024-05-25 08:37:00
8,"XRP","$29,720,008,716","$0.54","55,430,475,754","$847,873,147","1.41 %",2024-05-25 08:37:00
9,"Dogecoin","$23,819,433,425","$0.16","144,427,236,384","$2,014,737,755","1.15 %",2024-05-25 08:37:00
11,"Cardano","$16,383,190,999","$0.46","35,366,380,619","$276,737,781","2.12 %",2024-05-25 08:37:00
12,"Avalanche","$15,056,412,100","$38.34","392,835,663","$336,659,916","3.10 %",2024-05-25 08:37:00
13,"Shiba Inu","$14,516,754,626","$0.00","589,262,963,660,420","$374,774,421","0.89 %",2024-05-25 08:37:00
14,"Wrapped Bitcoin","$10,675,297,632","$68,738.00","155,285","$353,766,487","0.71 %",2024-05-25 08:37:00
15,"Chainlink","$10,084,838,736","$17.17","587,099,971","$747,768,971","1.47 %",2024-05-25 08:37:00
16,"TRON","$10,038,472,024","$0.11","87,411,947,180","$367,691,403","0.92 %",2024-05-25 08:37:00
17,"Polkadot","$9,990,026,451","$7.30","1,368,164,508","$181,580,748","0.81 %",2024-05-25 08:37:00
18,"Bitcoin Cash","$9,776,355,796","$495.76","19,710,372","$279,788,884","16.32 %",2024-05-25 08:37:00
19,"NEAR Protocol","$8,602,152,097","$7.97","1,079,046,829","$465,159,974","-0.57 %",2024-05-25 08:37:00
20,"Uniswap","$8,159,704,361","$10.83","753,766,667","$535,782,231","1.56 %",2024-05-25 08:37:00
21,"Polygon","$6,776,346,605","$0.73","9,282,943,566","$271,905,094","1.55 %",2024-05-25 08:37:00
22,"Litecoin","$6,382,818,029","$85.59","74,568,727","$366,545,767","2.73 %",2024-05-25 08:37:00
25,"Internet Computer","$5,740,316,595","$12.36","464,293,230","$57,867,267","-1.66 %",2024-05-25 08:37:00
26,"LEO Token","$5,558,816,834","$6.00","926,335,876","$1,566,993","4.71 %",2024-05-25 08:37:00
27,"Dai","$5,306,482,159","$1.00","5,311,606,977","$346,819,192","-0.03 %",2024-05-25 08:37:00
28,"Ethereum Classic","$4,719,630,539","$32.08","147,223,562","$262,610,902","5.24 %",2024-05-25 08:37:00
32,"Hedera","$3,872,730,453","$0.11","35,749,981,467","$45,350,731","1.28 %",2024-05-25 08:37:00
35,"Cosmos Hub","$3,321,136,295","$8.50","390,688,370","$174,191,779","-2.10 %",2024-05-25 08:37:00
37,"Filecoin","$3,261,395,783","$5.86","556,286,364","$145,476,649","1.64 %",2024-05-25 08:37:00
38,"Cronos","$3,241,105,768","$0.12","26,756,094,326","$9,160,539","-0.40 %",2024-05-25 08:37:00
39,"Stellar","$3,229,503,728","$0.11","28,976,038,346","$51,933,688","0.74 %",2024-05-25 08:37:00
43,"The Graph","$3,083,972,732","$0.32","9,509,072,250","$64,670,090","0.03 %",2024-05-25 08:37:00
45,"OKB","$2,942,005,680","$49.03","60,000,000","$5,698,559","0.12 %",2024-05-25 08:37:00
46,"Stacks","$2,889,433,557","$1.98","1,461,273,398","$57,730,988","-0.74 %",2024-05-25 08:37:00
50,"Arweave","$2,656,605,093","$40.57","65,454,186","$76,637,358","1.61 %",2024-05-25 08:37:00
51,"Maker","$2,643,319,789","$2,849.58","927,636","$77,671,085","1.55 %",2024-05-25 08:37:00
52,"VeChain","$2,589,826,399","$0.04","72,714,516,834","$47,491,304","1.91 %",2024-05-25 08:37:00
53,"Monero","$2,575,837,212","$141.88","18,147,820","$55,033,338","0.71 %",2024-05-25 08:37:00
56,"Theta Network","$2,357,572,439","$2.36","1,000,000,000","$22,426,765","-0.03 %",2024-05-25 08:37:00
59,"Fantom","$2,301,131,721","$0.82","2,803,634,836","$221,061,784","1.09 %",2024-05-25 08:37:00
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2024-05-25 08:37:00
60,"THORChain","$2,242,859,253","$6.70","334,561,307","$289,930,647","2.30 %",2024-05-25 08:37:00
67,"Algorand","$1,579,153,177","$0.19","8,165,446,629","$53,891,485","0.22 %",2024-05-25 08:37:00
68,"Aave","$1,578,956,538","$106.50","14,818,402","$187,649,695","3.80 %",2024-05-25 08:37:00
74,"Flow","$1,434,730,572","$0.95","1,508,945,933","$30,626,552","0.13 %",2024-05-25 08:37:00
79,"Quant","$1,366,227,798","$93.95","14,544,176","$19,602,469","2.74 %",2024-05-25 08:37:00
80,"Bitcoin SV","$1,260,256,092","$63.93","19,706,100","$16,892,620","9.24 %",2024-05-25 08:37:00
85,"Axie Infinity","$1,166,031,998","$8.04","145,146,063","$62,282,302","2.05 %",2024-05-25 08:37:00
90,"NEO","$1,082,882,911","$15.36","70,530,000","$36,205,761","1.63 %",2024-05-25 08:37:00
91,"MultiversX","$1,063,199,089","$39.41","26,979,165","$22,316,546","5.02 %",2024-05-25 08:37:00
92,"Chiliz","$1,062,054,848","$0.12","8,888,888,888","$56,103,521","1.00 %",2024-05-25 08:37:00
95,"Gate","$1,038,659,034","$7.97","130,359,278","$2,772,959","0.15 %",2024-05-25 08:37:00
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2024-05-25 08:37:00
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2024-05-25 08:37:00
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2024-05-25 08:37:00
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2024-05-25 08:37:00
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2024-05-25 08:37:00
